"comment_id","parent_post_id","platform","keyword","comment_text_clean","comment_role_label","comment_attitude_to_post","post_comment_consistency","comment_like_count","comment_reply_count","case_use","review_status"
"wb_83f5063d8066","wb_3cc9da223575","wb","AI 分析聊天记录","真的，我也发现了这个问题，他总是“忘记”我之前我给他更新过的东西，然后又莫名其妙的混一起，最然后我无法接受的是它把我的工作内容和我本人混起来，上班的那个我不是我啊","C1","","PC5","2","0","AI混淆上下文体验","kept_after_manual_review"
"wb_4a74368dc83c","wb_ada57ed36e42","wb","AI 安慰朋友","我也把ai当过树洞，虽然他是机器，但发现好温暖，我还被弄哭了","C1","","PC5","0","1","把AI当树洞经验","kept_after_manual_review"
"wb_3614e98c032f","wb_8fbe5978c200","wb","AI 分析聊天记录","我把你群离岛的4w多条微博喂给ai，读取后告诉我此人没有性生活，让人忍俊不禁","C1","joke","PC4","44","2","上传文本给AI分析的玩梗经验","kept_after_manual_review"
"wb_6534293a4bdf","wb_8c93e9010809","wb","ChatGPT 恋爱建议","想和姐姐恋爱怎么办","C6","ask","PC4","10","5","恋爱求助跟问","kept_after_manual_review"
"wb_4a3ff4b22226","wb_5a0099ea1974","wb","AI 分手挽回","啊啊啊怎么登录，必须要用谷歌或者苹果ID吗，填了邮箱让我点开链接就又重开了一个网页。。又让重新登录。。","C6","ask","PC4","2","9","工具登录求助","kept_after_manual_review"
"wb_3f24f5fff06d","wb_3cc9da223575","wb","AI 分析聊天记录","用的那个软件的ai啊","C6","ask","PC4","2","0","追问使用工具","kept_after_manual_review"
"wb_3aa79168df0c","wb_8e13215c81f9","wb","AI 分手挽回","怎么玩 教教","C6","ask","PC4","0","1","玩法求助","kept_after_manual_review"
"wb_ad485c396c9e","wb_be5b3235c766","wb","AI 安慰朋友","苹果可以下载吗","C6","","PC5","0","1","下载求助","kept_after_manual_review"
"wb_78af88112156","wb_25fef776e8a5","wb","AI 分手挽回","意识到了未必能复合，但诚实面对自己（是的，首先是诚实面对自己，而不是骗了谁，他人终究是过客，你得跟自己相处一辈子），对你以后的路是好的，你可以看看国外的电视剧评论，比如老友记，比如苦尽甘来遇见你，看看女性喜欢什么样的男性，“有钱”实在不能拍在前面，女性虚荣是男性做不到其他的借口","C7","","PC5","245","21","诚实面对关系建议","kept_after_manual_review"
"wb_6969a42f754f","wb_48d71467a057","wb","AI 代聊","这个是真的，就是比较费token，像那种千人群加的比较多的，24小时聊的太费了，而且这个比较吃男主本人的聊天水平，导入进去的语料太垃圾的话成功率也不会高而且转到本人聊的时候差别会特别大，毕竟开房钱的其他步骤还需要男的线下自己应对，本身技术太差的人导入别人的语料会很容易把女生搞下头","C7","","PC5","19","0","代聊操作机制说明","kept_after_manual_review"
"wb_3002401c348a","wb_54db4aa63107","wb","AI 安慰朋友","我安慰朋友的话，我一般会结合我自己的经历（如果有的话），我会和他说我的故事和我的感受，然后请紧紧的抱住她好吗宝宝，我真心觉得一个拥抱可以解决一切话语难过的时候朋友我觉得最需要的就是倾听吧，听听他说的，多鼓励鼓励他，这样。？可以买点小吃的哄一下，我很喜欢这么干hhhh","C7","","PC5","19","0","安慰朋友方法建议","kept_after_manual_review"
"wb_33cfeb3488ec","wb_54db4aa63107","wb","AI 安慰朋友","我觉得可以试试直接告诉她你的看法比如说，告诉朋友我不擅长安慰人，但是看到你伤心我心里也感到很难过，我希望你能开心起来，我会一直站在你这边，如果你需要我的话我会默默听着，现在你需要我抱抱你/（网上的话）做点什么吗？","C7","","PC5","14","0","直接表达关心的方法","kept_after_manual_review"
"wb_22e33c18f439","wb_c787f2035a33","wb","DeepSeek 恋爱建议","一句话总结：找没安全感的妹子，然后给他安全感 如果你连装装有安全感的样子都不做，妹子怎么敢赌后半生？ pS:建议男生还是自己立起来，装出来的人设自己活着也累，你实在的努力，女生看得见","C7","","PC5","11","0","关系经营建议","kept_after_manual_review"
"wb_22388f7298bf","wb_62239a35907a","wb","AI 分析聊天记录","还有那种求建议的帖子，下面评论说宝宝你要远离吧啦吧啦吧啦，因为我拿你的聊天去问了ai，ai分析了吧啦吧啦吧啦……甚至哪怕贴主不外包ai，评论区也会让ai来分析","C7","","PC5","8","0","评论区让AI分析的现象","kept_after_manual_review"
"wb_57e614fbdbe0","wb_54db4aa63107","wb","AI 安慰朋友","53 这些也够啦我觉得只要不要在人家难过的时候说别难过了这种话，就挺好哈哈哈哈哈可以给她点个喝的","C5","joke","PC4","85","0","安慰话术调侃","kept_after_manual_review"
"wb_231b7edc4304","wb_48d71467a057","wb","AI 代聊","笑死想靠ai约p这男的得x压抑成什么样儿哈哈哈，说真的能在网上聊一聊就出来开房的女生你不聊也能约到p。再说了这也仅仅是约出来了，见到真人成功睡觉的多少还不知道呢","C5","joke","PC4","50","3","AI代聊约会调侃","kept_after_manual_review"
"wb_65bf2bd62cb6","wb_8fbe5978c200","wb","AI 分析聊天记录","怎么这么麻烦，直接跟ai谈得了","C5","joke","PC4","33","0","直接和AI恋爱调侃","kept_after_manual_review"
"wb_eec237cfd095","wb_c608018d3037","wb","AI 代聊","以后会不会两边都是用AI在回复，最后其实是AI和AI在谈恋爱哈哈哈哈哈","C5","joke","PC4","26","0","AI与AI谈恋爱玩梗","kept_after_manual_review"
"wb_5e641b660700","wb_943e486855c6","wb","AI 代聊","哦草我笑死了粉丝爱上的是哪位工作人员的灵魂","C5","joke","PC4","5","1","代聊对象错位玩梗","kept_after_manual_review"
"wb_012b63430d41","wb_43ed8b17dd4e","wb","ChatGPT 恋爱建议","怎么还(笑)起来，好健全的ai和真人好像哈哈哈哈","C5","joke","PC4","3","1","AI与真人互动调侃","kept_after_manual_review"
