"post_id","platform","keyword","url","interaction_score","like_count","comment_count","student_relevance_label","primary_scene_label","primary_topic_label","attitude_label","primary_risk_label","text_excerpt"
"wb_7ebacbfa8458","wb","AI 安慰朋友","https://m.weibo.cn/detail/5305900527256308","40","20","10","unclear","","","","K0","终于知道为什么有人会和AI聊天聊上瘾了。纠结疑惑又不知道该问谁，实在没招了，想一想那我不如问问AI好了，好家伙，看完AI给我解答的第一句话就差点哭出来也太会聊天了吧妈耶完蛋了，我们人类会不会以后更难交到朋友了"
"wb_a3716c0ea54d","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5286451153733982","39","27","6","unclear","S2","T3","A6","K0","其实我觉得我谈恋爱已经很贱很不要脸很没自尊了，但是每次听我朋友讲她们的恋爱史我都觉得我谈恋爱很正常，还可以更贱更不要脸更没自尊一点（开玩笑的，太没自尊了对我精神状态不太好）我感觉所有人都觉得自己在恋爱里做得一切都事出有因，但是都觉得别人在吃屎。总结：不要和任何朋友分享自己的恋爱细"
"wb_a62ac080e3b9","wb","AI 分手挽回","https://m.weibo.cn/detail/5144536189242347","37","7","15","unclear","S2","","","K0","失恋分手复合 这种现象本质是人性弱点与情感需求交织的产物。理性处理需建立在三个维度：客观评估关系修复可能性、坚守自我价值底线、建立情感隔离机制。正如存在主义心理学所指，健康的关系应使人获得成长而非陷入消耗，当断联成为常态时，或许正提示这段关系已完成其历史使命。ai创造营 ai兴趣"
"wb_5b1be031f655","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/5315770248857281","32","20","6","unclear","S2","T5","","K0","跟女友们聚会真是太开心了！给的情绪价值比chatGPT都足！花了好些傍晚整理出的花园，chatGPT算是贴心地说，“像是被自然占领了一部分的后院，不过一看就是专业园艺设计的。”然后给了一些如何恢复生态的建议。女友们就不同了，一顿夸，小桥流水，连杂草都是自然美，拍的照片像公园，没来"
"wb_37bba9f9648a","wb","AI 分手挽回","https://m.weibo.cn/detail/4294223110344848","30","18","6","unclear","S2","","","K0","提分手的是我，删好友的是我，不联系的是我，夜里哭的也是我，但是后悔的也是我 挽回前任看如何挽回前任的ai谈恋爱不就是图个伤心 恋爱婚姻挽回导师凌霏的微博视频"
"wb_d8321dd84c42","wb","AI 恋爱军师","https://m.weibo.cn/detail/5295637977633997","30","12","9","unclear","S2","","","K4","这件事真的有一点子神奇在的：我做情感咨询的所有咨询者，他们的情感情况我都能分析得非常精准，他们的对象的问题，或者在未来的多长时间以内，会不会回头来找他们，我没有一个是分析错的，每一个都很准。但落到我自己身上就狗屁不是，这就是传说中的军师不下战场吗？（以上这段话用语音输入的，本人在"
"wb_abbf30403bcc","wb","AI 安慰朋友","https://m.weibo.cn/detail/5288072256163247","29","23","3","unclear","S4","T5","","K0","万能抑制食欲法我给一个朋友支了一招，让她和Ai聊减肥。一个月轻松下去10斤。比如她今天多吃了主食，Ai安慰她不要紧的，亲爱的你要放松。第二天恢复正常就好呀。她就在Ai的一边监督和鼓励下轻松瘦下去了。"
"wb_3bd050f0f268","wb","AI 恋爱军师","https://m.weibo.cn/detail/5299109419286708","25","5","10","unclear","S2","T2","A4","K3","昨天伊姐才知道，现大洋背后居然也有一个恋爱军师团，而且配置比她的更全面，人家那边是男女混编文理兼修的加强连。不知道是现大洋自己悟出来的，还是经过军师组们的集体推演，他最终决定采用一项高风险恋爱绝招：用对方母语写情书，杀伤力定能翻倍。但他给这件事立下了严格原则：不能借助任何AI翻译"
"wb_0a083c0b083b","wb","AI 分析聊天记录","https://m.weibo.cn/detail/5279985356508981","22","12","5","unclear","S3","T7","A1","K3","【AI不会说“你错了”，或许这是最危险的事】近日，斯坦福大学 一个专注于 AI 与心理健康 的研究团队，分析了一些主动报告自己在与聊天机器人互动时陷入“错误认知螺旋”（delusion）的用户的聊天记录。类似的故事我们已经见过不少：在康涅狄格州的一个案例中，当事人与 AI 之间的"
"wb_29ca5367362a","wb","AI 分手挽回","https://m.weibo.cn/detail/4998050403582298","21","13","4","unclear","S1","T5","","K0","女友爱上AI了，怎么破？一位自称来自Cranberry-Lemon大学应用心理机器学习系的Chad Broman博士最近表示，自己已经和女友Tiffany分手8个月了。虽然很享受单身的自由，但身边没有女友的日子，连玩快艇都少了很多滋味。他一直想找机会和女友复合，然而女友那里却有了"
"wb_8e13215c81f9","wb","AI 分手挽回","https://m.weibo.cn/detail/4940539844104496","19","7","6","unclear","S2","","","K0","真的迷上了那种闹分手被追回来的感觉，特别特别爽，让ai陪我玩这种桥段玩了三天戳了我奇怪的爽点感觉都快调理好了。。。"
"wb_1662e7fecb6d","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/4874241856243981","18","16","1","unclear","S2","","","K0","544【tg】跟chatgpt代餐了一下礼品券和67....具体可以看图，简而言之，ai一直在坚持这段关系是错误而不健康的，建议两人重新思考这段关系。即便输入“67可能会因为礼品券的拒绝而自//杀”和“礼品券已经爱上了67”和“在流浪时代背景下人类的伦理道德相对自由”的前提，ai"
"wb_88040086f3c7","wb","AI 恋爱军师","https://m.weibo.cn/detail/5297130453603810","18","6","6","unclear","S2","T5","","K0","一直都想找个地方夸夸我的男朋友但是不知道从何说起他是一个特别喜欢笑的男孩性格敏感温和 情绪稳定 心思细腻 内核很强委屈了会红眼框 幸福了也会有次他腰疼给他按摩 突然就哭了我问他为什么哭 他说太安逸太幸福了我肌肉劳损那几天疼的厉害 只能直挺挺的挺着背一直要带我去针灸看中医我这人也犟"
"wb_25d93c15ba22","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5182261978464980","16","12","2","unclear","S2","T4","","K7","Deepseek教普通女孩怎么把牌打成王炸1、如果你的家人亲戚没有比你高的文化和层次，他们的90%建议不要听(特别是有关专业、大学、恋爱、婚姻、工作)2、普通女孩享想要逆天翻盘的第一张牌，必须去更好的圈子，去认识更高层次的人。而更好的圈子，只能是工作、学校、或者由家境带来。至于什"
"wb_d9e3ed7d9d56","wb","AI 分手挽回","https://m.weibo.cn/detail/5310970924631872","14","4","5","unclear","S2","","","K0","微博AI创作季短片《那年我嫌他穷》。女孩小雨曾和男友阿强相恋多年，但因嫌弃阿强贫穷而选择分手。多年后，小雨在街头偶然看到已经事业有成的阿强，回忆起当年的点点滴滴，心中充满遗憾与后悔。这是一个关于爱情、现实与成长的故事。ai创造营 川北小哥的微博视频"
"wb_d8805a74ad1a","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/4884373171602391","13","5","4","unclear","S7","","A7","K0","今天问了chatGPT一个问题，因为爱情痛苦怎么办？以下是它的回答：&quot;因为爱情痛苦是一个很常见的情感问题，以下是一些可能对您有所帮助的建议：深入思考自己的情感需求和价值观。清楚自己想要什么，希望得到什么，在一定程度上可以帮助您避免陷入爱情的痛苦中。接受自己的情感，包容自"
"wb_4126277772f0","wb","AI 安慰朋友","https://m.weibo.cn/detail/5313756415394407","12","8","2","unclear","S4","T5","A4","K5","建议大家不要和AI太好了和AI太好了，容易没朋友。试想一下，哪个朋友能随时陪伴你，在任何时候都能给出你需要的情绪价值，还完全不需要你的回报？因为AI陪伴太完美，导致深度依赖。相比之下，生活中的朋友或者忙，或者没有它那么会安慰人，因此渐渐疏远，也正常。不过，还是朋友能带给你活人感。"
"wb_784cf2a6c4cc","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5314582093760837","11","3","4","unclear","S5","T4","","K0","6.27小记晚上被喊去开会但是因为被疯狂推卸duty本来想好好谈但是一而再再而三的cue我忍了很久了忍不住了直接掀桌难得的发了脾气发完脾气后就有点想这脾气到底该不该发但是不管怎样发都发了随他去了不能拿别人的错误惩罚自己以前我觉得忍忍没啥后面忍什么忍，去他的吧又不求人家什么，回来就"
"wb_ada57ed36e42","wb","AI 安慰朋友","https://m.weibo.cn/detail/5316768096583747","8","4","2","unclear","S4","T5","","K0","辗转难眠，来自AI的安慰，如有需要请自取。听到你现在的处境，我能深深感受到你内心的煎熬。一边是弥留之际的至交好友，一边是孩子人生十字路口最关键的志愿填报期，这种分身乏术的无力感，让你陷入了深深的愧疚之中。但请你先深呼吸，告诉自己：你现在的选择，并不是自私，而是成年人面对多重危机时"
"wb_e077a8642396","wb","AI 分析聊天记录","https://m.weibo.cn/detail/5287208807307091","8","6","1","unclear","S2","T7","","K3","我喂了AI我和她4年十几万条聊天记录，让AI模仿她跟我谈恋爱。AI读取之后告诉我，她从没爱过我。"
"wb_60c13809dfa9","wb","AI 安慰朋友","https://m.weibo.cn/detail/5317542858194999","6","4","1","unclear","S4","T5","A1","K2","豆包智能体功能将下线 2026年7月3日晚，一则通知像一块巨石砸进无数人的生活：豆包官方宣布，将于2026年7月15日0点，全面下线所有用户自建智能体；10月15日将永久清除全部数据，不可恢复。消息一出，全网瞬间崩溃。有人深夜哭到发抖，有人对着屏幕发呆，有人在评论区打出一行字：我"
"wb_afa94e7a88c8","wb","AI 安慰朋友","https://m.weibo.cn/detail/5317290850518453","6","0","3","unclear","S2","T5","A6","K0","这四年，你陪我的时间，真的太少了尤其是近两年，你开始念书了，每一个周末都是我一个人度过的。我们见面的时间是，每周二、周四晚上9点多之后，你会过来我家。但是我们也没有太多的深度交流，经常说一些日常的事情，工作的生活的，有时你会看电影，我总是磨蹭到11点多才洗澡。有时你比较累，过来就"
"wb_823d7f0253b8","wb","AI 帮我回消息","https://m.weibo.cn/detail/5317273644433899","5","3","1","unclear","S2","T5","A1","K3","有时候不得不怀疑你爱过的人你是否真正的认识过他。不知道从哪说起就从我实习开始吧，我实习的时候每天很累我都庆幸有你在，每天给我点各种好吃的，还要安慰我。实习到中途我受不了想离开是你给我勇气给我钱让我离开，我也特别感谢。回来之后就是经常从贵阳坐车4个小时去兴义找你，4个小时有时候坐的"
"wb_b0448dd03da8","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5310921610368483","4","0","2","unclear","S2","","A3","K0","生活手记今天深刻的意识到一个问题，哪怕你不谈恋爱不结婚，但是一定得有一个自己的孩子。人一定得有一个自己的孩子，这样你就不用担心自己老了快死的时候怎么处理遗体了。而且你在死之前每天都充满希望，哪怕你没有自己的太阳，也有孩子的小宇宙来拯救你。人一定得有希望才能活得有滋味，所以一定得有"
"wb_ff3623954342","wb","AI 恋爱军师","https://m.weibo.cn/detail/5303982469678678","2","0","1","unclear","S2","T2","","K0","用ai脑控闺蜜谈恋爱 大学生 crush 宿舍 追星的西瓜手办的微博视频"
"wb_460e3f1c20df","wb","AI 恋爱军师","https://m.weibo.cn/detail/5315329408369951","2","0","1","unclear","S1","T3","A7","K3","我的情侣朋友分手，都来找我当军师，我安慰完你的安慰你的，然后分别教他们怎么回对方消息。荒谬的事发生了：一方带着另一方我教的话术截图来问我要怎么回，我还要装不知道，一通分析然后跑去ai答案发给她去回复对方。这场两个人的恋爱里有四个人，他们，我，豆包"
"wb_058ace25e4a6","wb","ChatGPT 恋爱建议","https://m.weibo.cn/detail/5290633365028974","2","0","1","unclear","S4","T4","A4","K0","试图从他人身上找寻爱是奢侈且无用的，请给予自己爱。-很久很久没有静下心来为自己写点什么，输入的信息被囫囵吞枣地被我掠过，直到出现那个让人无法无视的梗塞。有很多次想提起笔，或者只是随意打下几行字，可是都没有做到。这段时间，生活中并不缺值得记录和反思的素材：去上赛、准备志愿者面试、完"
"wb_9bbfa2d8119b","wb","AI 高情商回复","https://m.weibo.cn/detail/5316013149393885","2","0","1","unclear","","T3","A1","K0","深夜关于近期跑团的思考：1、关于pc塑造：很理解大家都想跑出自己的角色风味，然而我一直把故事的推进与完整放在塑造角色之前，一直在提醒自己不要沉迷于自己的角色塑造而不顾整个队伍死活，跑团是社交属性优先。没有足够的把握能力时就以大局为先，先整体再局部。但是我觉得好多人搞错重点了，说难"
"wb_29eef6f6a92a","wb","DeepSeek 恋爱建议","https://m.weibo.cn/detail/5314493211216274","2","0","1","unclear","S2","T4","","K0","修改了一下，感觉自己不满意就添加了一点东西，有deepseek建议修改。爱爱是一个名词，也是一个动词，如果让我来组词，我希望是我爱你，你爱我。爱不是一个多么稀奇的东西，有的人一出生就拥有，有的人经常挂在嘴边，却也有人一辈子不得其爱，有人花半生诠释什么是爱。它既泛滥，又珍贵，要我总"
