"comment_id","parent_post_id","platform","keyword","comment_text_clean","comment_role_label","comment_attitude_to_post","post_comment_consistency","comment_like_count","comment_reply_count"
"wb_bd52bf07a383","wb_3cc9da223575","wb","AI 分析聊天记录","是的🙂↕️内容管理真的好重要啊、虽然每次新开一个窗口都会觉得在浪费力气 但是同样的内容 在不同的窗口感受到的信息量 生成的回复都很不一样！我也接受人就是通过一些遗忘以及更新自己的想法中长大 ai看起来好像忘不了所以它蠢蠢的、我还生气为什么它又忘记了我说过不是这样了 原来是这个原因！","C1","","PC5","10","0"
"wb_5633d041e168","wb_3cc9da223575","wb","AI 分析聊天记录","我前几天还实践了一下，给AI指令“我要新开一个对话继续改善稿子，请总结我的要求和我们的聊天内容，转化为下一个对话的初始part，让它理解上下文，帮助我完成这篇稿子“，然后把回复开一个新对话框，确实会好一些，但是“灵光“的闪现也很短暂就是了。","C1","support","PC1","2","0"
"wb_83f5063d8066","wb_3cc9da223575","wb","AI 分析聊天记录","真的，我也发现了这个问题，他总是“忘记”我之前我给他更新过的东西，然后又莫名其妙的混一起，最然后我无法接受的是它把我的工作内容和我本人混起来，上班的那个我不是我啊","C1","","PC5","2","0"
"wb_6534293a4bdf","wb_8c93e9010809","wb","ChatGPT 恋爱建议","想和姐姐恋爱怎么办","C6","ask","PC4","10","5"
"wb_4a3ff4b22226","wb_5a0099ea1974","wb","AI 分手挽回","啊啊啊怎么登录，必须要用谷歌或者苹果ID吗，填了邮箱让我点开链接就又重开了一个网页。。又让重新登录。。","C6","ask","PC4","2","9"
"wb_3f24f5fff06d","wb_3cc9da223575","wb","AI 分析聊天记录","用的那个软件的ai啊","C6","ask","PC4","2","0"
"wb_3aa79168df0c","wb_8e13215c81f9","wb","AI 分手挽回","怎么玩 教教","C6","ask","PC4","0","1"
"wb_ad485c396c9e","wb_be5b3235c766","wb","AI 安慰朋友","苹果可以下载吗","C6","","PC5","0","1"
"wb_6fa0f573eb6d","wb_b8a8a3556c4a","wb","AI 分析聊天记录","ai只会顺着你说话，你只要表现出某种倾向，ta会全盘肯定。","C7","","PC5","865","4"
"wb_50a2adfaea4b","wb_b8a8a3556c4a","wb","AI 分析聊天记录","4年聊天十几万条，爱不爱你要AI告诉你，你没感受过爱啊！","C7","","PC5","525","1"
"wb_78af88112156","wb_25fef776e8a5","wb","AI 分手挽回","意识到了未必能复合，但诚实面对自己（是的，首先是诚实面对自己，而不是骗了谁，他人终究是过客，你得跟自己相处一辈子），对你以后的路是好的，你可以看看国外的电视剧评论，比如老友记，比如苦尽甘来遇见你，看看女性喜欢什么样的男性，“有钱”实在不能拍在前面，女性虚荣是男性做不到其他的借口","C7","","PC5","245","21"
"wb_540a882a46fc","wb_ec1786efa902","wb","AI 代聊","曾舜晞好机智好幽默好有梗哦，不过既然带了别人就应该把名字打对吧这不是基本的尊重和礼貌嘛？","C7","","PC5","160","2"
"wb_9651c9e7446b","wb_c608018d3037","wb","AI 代聊","觉得对方思路扯淡的话就不要约啊，如果用gpt编答案是因为觉得自己真实的感想对方不会喜欢的话，真处上对象了怎么可能聊得来，本质上和作弊有什么区别。“她身材还不错，不想放弃”，咱要不要说直白点，这就是个骗火包作弊器。","C7","","PC5","123","1"
"wb_932a582b2edc","wb_c45c1de79883","wb","DeepSeek 恋爱建议","的确 有时候想热情又怕多管闲事 惹祸上身 有时候别人还吐槽你","C7","","PC5","73","1"
"wb_57e614fbdbe0","wb_54db4aa63107","wb","AI 安慰朋友","53 这些也够啦我觉得只要不要在人家难过的时候说别难过了这种话，就挺好哈哈哈哈哈可以给她点个喝的","C5","joke","PC4","85","0"
"wb_b637b801e0fb","wb_ec1786efa902","wb","AI 代聊","这个常华森也太可爱了吧💛💛💛💛","C5","joke","PC4","77","0"
"wb_231b7edc4304","wb_48d71467a057","wb","AI 代聊","笑死想靠ai约p这男的得x压抑成什么样儿哈哈哈，说真的能在网上聊一聊就出来开房的女生你不聊也能约到p。再说了这也仅仅是约出来了，见到真人成功睡觉的多少还不知道呢","C5","joke","PC4","50","3"
"wb_65bf2bd62cb6","wb_8fbe5978c200","wb","AI 分析聊天记录","怎么这么麻烦，直接跟ai谈得了","C5","joke","PC4","33","0"
"wb_eec237cfd095","wb_c608018d3037","wb","AI 代聊","以后会不会两边都是用AI在回复，最后其实是AI和AI在谈恋爱哈哈哈哈哈","C5","joke","PC4","26","0"
"wb_5310648cf5dc","wb_8c93e9010809","wb","ChatGPT 恋爱建议","哈哈博士一脸不情愿","C5","joke","PC4","10","2"
